16:20:55 INFO E1-0: 34456m347p117s246z | 4m
16:20:55 INFO E1-0: 234456m347p117s46z | 2m
16:20:55 INFO E1-0: 234456m347p1179s6z | 9s
16:20:55 INFO E1-0: 1234456m34p1179s6z | 1m
16:20:55 INFO E1-0: 234456m34p1179s66z | F
16:20:55 INFO E1-0: 2234456m34p119s66z | 2m
16:20:55 INFO E1-0: 234456m34p119s366z | W
16:20:55 INFO E1-0: 234456m34p11s3366z | W
16:20:56 INFO E1-0: 234456m34p11s3z(p6z2) | 
16:20:56 INFO E1-0: 234456m34p118s(p6z2) | 8s
16:20:56 INFO E1-0: 234456m346p11s(p6z2) | 6p
16:20:56 INFO E1-0: 234456m34p113s(p6z2) | 3s
16:20:56 INFO E1-0: 2344567m34p11s(p6z2) | 7m
16:20:56 INFO E1-0: 234567m34p116s(p6z2) | 6s
16:20:56 INFO E1-0: 2345677m34p11s(p6z2) | 7m
16:20:56 INFO E2-0: 20679m4899p069s45z(p6z2) | 2m
16:20:56 INFO E2-0: 0679m44899p069s45z(p6z2) | 4p
16:20:56 INFO E2-0: 0679m40899p069s45z(p6z2) | 5pr
16:20:56 INFO E2-0: 40679m4899p069s45z(p6z2) | 4m
16:20:56 INFO E2-0: 0679m4899p069s145z(p6z2) | E
16:20:56 INFO E2-0: 0679m4899p1069s45z(p6z2) | 1s
16:20:56 INFO E2-0: 0679m4899p069s456z(p6z2) | F
16:20:56 INFO E2-0: 0679m48899p069s45z(p6z2) | 8p
16:20:56 INFO E2-0: 0679m24899p069s45z(p6z2) | 2p
16:20:56 INFO E2-0: 0679m4899p3069s45z(p6z2) | 3s
16:20:56 INFO E2-0: 0679m4899p0679s45z(p6z2) | 7s
16:20:56 INFO E2-0: 0679m4899p3069s45z(p6z2) | 3s
16:20:56 INFO E2-0: 06789m4899p069s45z(p6z2) | 8m
16:20:56 INFO E2-0: 06679m4899p069s45z(p6z2) | 6m
16:20:56 INFO E2-0: 06789m4899p069s45z(p6z2) | 8m
16:20:56 INFO E2-0: 05679m4899p069s45z(p6z2) | 5m
16:20:56 INFO E2-0: 0679m4899p2069s45z(p6z2) | 2s
16:20:56 INFO E3-1: 2478m89p1446789s4z(p6z2) | 2m
16:20:56 INFO E3-1: 4678m89p1446789s4z(p6z2) | 6m
16:20:56 INFO E3-1: 478m89p12446789s4z(p6z2) | 2s
16:20:56 INFO E3-1: 478m89p1446789s46z(p6z2) | F
16:20:56 INFO E3-1: 478m89p14467889s4z(p6z2) | 8s
16:20:56 INFO E3-1: 478m889p1446789s4z(p6z2) | 8p
16:20:57 INFO E3-1: 478m89p14456789s4z(p6z2) | 5s
16:20:57 INFO E3-1: 478m89p1446789s44z(p6z2) | N
16:20:57 INFO E3-1: 4478m89p1446789s4z(p6z2) | 4m
16:20:57 INFO E3-1: 478m189p1446789s4z(p6z2) | 1p
16:20:57 INFO E3-1: 478m89p1446789s46z(p6z2) | F
16:20:57 INFO E3-1: 2478m89p1446789s4z(p6z2) | 2m
16:20:57 INFO E3-1: 478m89p14466789s4z(p6z2) | 6s
16:20:57 INFO E3-1: 1478m89p1446789s4z(p6z2) | 1m
16:20:57 INFO E3-1: 478m89p14467899s4z(p6z2) | 9s
16:20:57 INFO E3-1: 478m089p1446789s4z(p6z2) | 5pr
16:20:57 INFO E3-1: 478m589p1446789s4z(p6z2) | 5p
16:20:57 INFO E3-1: 478m89p14456789s4z(p6z2) | 5s
16:20:57 INFO E4-2: 1357889m45p347s14z(p6z2) | 4s
16:20:57 INFO E4-2: 1357889m456p37s14z(p6z2) | 6p
16:20:57 INFO E4-2: 12357889m45p37s14z(p6z2) | 2m
16:20:57 INFO E4-2: 1357889m45p367s14z(p6z2) | 6s
16:20:57 INFO E4-2: 1357889m45p37s146z(p6z2) | F
16:20:57 INFO E4-2: 1357889m45p237s14z(p6z2) | 2s
16:20:57 INFO E4-2: 1357889m45p367s14z(p6z2) | 6s
16:20:57 INFO E4-2: 1357889m45p37s124z(p6z2) | S
16:20:57 INFO E4-2: 1357889m456p37s14z(p6z2) | 6p
16:20:57 INFO E4-2: 1357889m45p379s14z(p6z2) | 9s
16:20:57 INFO E4-2: 13357889m45p37s14z(p6z2) | 3m
16:20:57 INFO E4-2: 13057889m45p37s14z(p6z2) | 5mr
16:20:57 INFO E4-2: 1357889m456p37s14z(p6z2) | 6p
16:20:57 INFO E4-2: 1357889m345p37s14z(p6z2) | 3p
16:20:57 INFO E4-2: 1357889m45p37s144z(p6z2) | N
16:20:57 INFO E4-2: 1357889m45p137s14z(p6z2) | 1s
16:20:57 INFO E4-2: 1357889m45p37s134z(p6z2) | W
16:20:57 INFO E4-2: 13357889m45p37s14z(p6z2) | 3m
16:20:58 INFO S1-3: 12368m23088p13s46z(p6z2) | 8m
16:20:58 INFO S1-3: 1236m23088p113s46z(p6z2) | 1s
16:20:58 INFO S1-3: 1236m123088p13s46z(p6z2) | 1p
16:20:58 INFO S1-3: 1236m23088p139s46z(p6z2) | 9s
16:20:58 INFO S1-3: 12236m23088p13s46z(p6z2) | 2m
16:20:58 INFO S1-3: 1236m23088p113s46z(p6z2) | 1s
16:20:58 INFO S1-3: 1236m123088p13s46z(p6z2) | 1p
16:20:58 INFO S1-3: 1236m230888p13s46z(p6z2) | 8p
16:20:58 INFO S1-3: 1236m23088p13s466z(p6z2) | F
16:20:58 INFO S1-3: 1236m23088p13s346z(p6z2) | W
16:20:58 INFO S1-3: 12367m23088p13s46z(p6z2) | 7m
16:20:58 INFO S1-3: 1236m23088p139s46z(p6z2) | 9s
16:20:58 INFO S1-3: 1236m23088p134s46z(p6z2) | 4s
16:20:58 INFO S1-3: 1236m230788p13s46z(p6z2) | 7p
16:20:58 INFO S1-3: 1236m23088p13s467z(p6z2) | C
16:20:58 INFO S1-3: 1236m23088p136s46z(p6z2) | 6s
